# Orientation data file - Sat Oct 02 20:52:34 - min reliable 7
# ../mkd /home/dfisher/pisces2 /home/dfisher/pisces2/final_long_list
# 18 distances, 10 angles

ALA ALA

# a1 < 30, a2 < 30

3   0.000 	# ((0 / 2936136) / (0 / 370101436)) ?
4   0.000 	# ((0 / 2936136) / (122 / 370101436)) ?
5   0.000 	# ((0 / 2936136) / (1588 / 370101436)) ?
6  -0.787 	# ((212 / 2936136) / (12168 / 370101436))
7  -1.437 	# ((1768 / 2936136) / (52960 / 370101436))
8   0.099 	# ((638 / 2936136) / (88776 / 370101436))
9   0.391 	# ((616 / 2936136) / (114804 / 370101436))
10  0.012 	# ((1008 / 2936136) / (128594 / 370101436))
11 -0.230 	# ((1348 / 2936136) / (134942 / 370101436))
12 -0.162 	# ((1222 / 2936136) / (130958 / 370101436))
13  0.018 	# ((1000 / 2936136) / (128320 / 370101436))
14 -0.195 	# ((1248 / 2936136) / (129466 / 370101436))
15 -0.329 	# ((1524 / 2936136) / (138222 / 370101436))
16 -0.426 	# ((1836 / 2936136) / (151212 / 370101436))
17 -0.305 	# ((1776 / 2936136) / (164956 / 370101436))
18 -0.167 	# ((1682 / 2936136) / (179444 / 370101436))
19 -0.172 	# ((1786 / 2936136) / (189614 / 370101436))
20 -0.132 	# ((42208 / 2936136) / (4664118 / 370101436))

# a1 < 30, a2 30-90

3   0.000 	# ((0 / 2936136) / (0 / 370101436)) ?
4   0.000 	# ((0 / 2936136) / (500 / 370101436)) ?
5  -0.893 	# ((206 / 2936136) / (10626 / 370101436))
6  -1.712 	# ((2656 / 2936136) / (60444 / 370101436))
7  -0.531 	# ((1554 / 2936136) / (115150 / 370101436))
8   0.534 	# ((642 / 2936136) / (138088 / 370101436))
9  -0.020 	# ((1334 / 2936136) / (164860 / 370101436))
10 -0.342 	# ((2340 / 2936136) / (209460 / 370101436))
11 -0.269 	# ((2656 / 2936136) / (255908 / 370101436))
12 -0.105 	# ((2474 / 2936136) / (280682 / 370101436))
13 -0.114 	# ((2600 / 2936136) / (292434 / 370101436))
14 -0.169 	# ((2902 / 2936136) / (308812 / 370101436))
15 -0.213 	# ((3326 / 2936136) / (338880 / 370101436))
16 -0.211 	# ((3574 / 2936136) / (364816 / 370101436))
17 -0.183 	# ((3696 / 2936136) / (387910 / 370101436))
18 -0.156 	# ((3832 / 2936136) / (413216 / 370101436))
19 -0.159 	# ((4100 / 2936136) / (440650 / 370101436))
20 -0.123 	# ((101864 / 2936136) / (11350584 / 370101436))

# a1 < 30, a2 90+

3   0.000 	# ((0 / 2936136) / (0 / 370101436)) ?
