# Orientation data file - Thu Sep 30 10:24:39 - min reliable 7
# ../mkd /home/dfisher/pisces2 /home/dfisher/pisces2/final_short_list
# 18 distances, 10 angles

ALA ALA

# a1 < 30, a2 < 30

3   0.000 	# ((0 / 156616) / (0 / 22209512)) ?
4   0.000 	# ((0 / 156616) / (14 / 22209512)) ?
5   0.000 	# ((0 / 156616) / (116 / 22209512)) ?
6  -0.882 	# ((26 / 156616) / (1526 / 22209512))
7  -1.604 	# ((238 / 156616) / (6786 / 22209512))
8  -0.067 	# ((92 / 156616) / (12200 / 22209512))
9   0.573 	# ((68 / 156616) / (17106 / 22209512))
10 -0.105 	# ((150 / 156616) / (19148 / 22209512))
11 -0.352 	# ((196 / 156616) / (19550 / 22209512))
12 -0.176 	# ((152 / 156616) / (18068 / 22209512))
13  0.024 	# ((112 / 156616) / (16262 / 22209512))
14 -0.011 	# ((108 / 156616) / (15142 / 22209512))
15 -0.262 	# ((132 / 156616) / (14402 / 22209512))
16 -0.479 	# ((166 / 156616) / (14584 / 22209512))
17 -0.358 	# ((146 / 156616) / (14478 / 22209512))
18 -0.160 	# ((118 / 156616) / (14256 / 22209512))
19 -0.226 	# ((126 / 156616) / (14260 / 22209512))
20 -0.027 	# ((766 / 156616) / (105736 / 22209512))

# a1 < 30, a2 30-90

3   0.000 	# ((0 / 156616) / (0 / 22209512)) ?
4   0.000 	# ((0 / 156616) / (40 / 22209512)) ?
5  -1.615 	# ((40 / 156616) / (1128 / 22209512))
6  -1.740 	# ((330 / 156616) / (8214 / 22209512))
7  -0.374 	# ((166 / 156616) / (16200 / 22209512))
8   0.633 	# ((66 / 156616) / (17624 / 22209512))
9  -0.052 	# ((154 / 156616) / (20722 / 22209512))
10 -0.322 	# ((258 / 156616) / (26512 / 22209512))
11 -0.292 	# ((300 / 156616) / (31760 / 22209512))
12 -0.177 	# ((296 / 156616) / (35150 / 22209512))
13 -0.174 	# ((288 / 156616) / (34318 / 22209512))
14 -0.213 	# ((302 / 156616) / (34598 / 22209512))
15 -0.258 	# ((330 / 156616) / (36150 / 22209512))
16 -0.288 	# ((338 / 156616) / (35942 / 22209512))
17 -0.346 	# ((352 / 156616) / (35322 / 22209512))
18 -0.242 	# ((314 / 156616) / (34942 / 22209512))
19 -0.135 	# ((284 / 156616) / (35204 / 22209512))
20 -0.118 	# ((2316 / 156616) / (291774 / 22209512))

# a1 < 30, a2 90+

3   0.000 	# ((0 / 156616) / (0 / 22209512)) ?
4   0.000 	# ((0 / 156616) / (104 / 22209512)) ?
5  -0.491 	# ((20 / 156616) / (1736 / 22209512))
6  -0.931 	# ((114 / 156616) / (6374 / 22209512))
7  -0.227 	# ((76 / 156616) / (8590 / 22209512))
8  -0.268 	# ((124 / 156616) / (13446 / 22209512))
9  -0.648 	# ((304 / 156616) / (22558 / 22209512))
10 -0.616 	# ((522 / 156616) / (39966 / 22209512))
11 -0.357 	# ((506 / 156616) / (50226 / 22209512))
12 -0.222 	# ((494 / 156616) / (56102 / 22209512))
13 -0.192 	# ((500 / 156616) / (58534 / 22209512))
14 -0.161 	# ((504 / 156616) / (60834 / 22209512))
15 -0.240 	# ((552 / 156616) / (61558 / 22209512))
16 -0.171 	# ((506 / 156616) / (60454 / 22209512))
17 -0.058 	# ((424 / 156616) / (56730 / 22209512))
18 -0.089 	# ((430 / 156616) / (55804 / 22209512))
19 -0.309 	# ((530 / 156616) / (55178 / 22209512))
20 -0.184 	# ((4376 / 156616) / (516184 / 22209512))

# a1 30-90, a2 < 30

3   0.000 	# ((0 / 156616) / (0 / 22209512)) ?
4   0.000 	# ((0 / 156616) / (72 / 22209512)) ?
5  -0.885 	# ((16 / 156616) / (936 / 22209512))
6  -1.582 	# ((280 / 156616) / (8164 / 22209512))
7  -0.077 	# ((128 / 156616) / (16814 / 22209512))
8   0.647 	# ((70 / 156616) / (18964 / 22209512))
9  -0.044 	# ((162 / 156616) / (21990 / 22209512))
10 -0.289 	# ((264 / 156616) / (28032 / 22209512))
11 -0.128 	# ((286 / 156616) / (35694 / 22209512))
12 -0.135 	# ((310 / 156616) / (38402 / 22209512))
13 -0.091 	# ((298 / 156616) / (38574 / 22209512))
14 -0.131 	# ((310 / 156616) / (38562 / 22209512))
15 -0.106 	# ((316 / 156616) / (40288 / 22209512))
